id;description;location;tix;comp;expiry
1;Soft RAM;Illinois Developer didactic;53149;42425;2022-11-17
2;Lari AGP SAS;Gloves 1080p;78808;56327;2022-11-17
3;Senior Card SMTP;Saint;28430;47596;2022-11-16
4;Granite B2B;Concrete quantify;35317;18240;2022-11-16
5;Lead middleware;Generic of;79718;82420;2022-11-17
6;protocol;composite;1184;95716;2022-11-16
7;Games Music;payment bandwidth;18595;41493;2022-11-17
8;Borders;Phased;5460;34058;2022-11-16
9;multi-byte;internet Chicken;22564;83688;2022-11-16
10;quantifying Tasty deliver;Guatemala;96796;16930;2022-11-16
